"","week_canton","ndvi"
"549","2020-7-607",-0.3
"550","2020-7-604",0.639510339978933
"551","2020-7-605",0.835604959664262
"552","2020-7-609",0.854051204970788
"553","2020-7-601",0.826294963790349
"554","2020-7-606",0.817154129088954
"555","2020-7-112",0.706239811122223
"556","2020-7-110",0.553840077627511
"557","2020-7-106",0.759307141792463
"558","2020-7-118",0.383975495788412
"559","2020-7-103",0.729299244859194
"560","2020-7-117",0.920131357699285
"561","2020-7-102",0.404761979958255
"562","2020-7-108",0.591158815767866
"563","2020-7-120",0.833952645690599
"564","2020-7-115",0.409996073966764
"565","2020-7-107",0.840716817308548
"566","2020-7-114",0.697485436016914
"567","2020-7-119",0.693170476262195
"568","2020-7-104",0.642631011496557
"569","2020-7-101",0.446708602459201
"570","2020-7-109",0.471974569544781
"571","2020-7-105",0.826514121814653
"572","2020-7-113",0.167379733538349
"573","2020-7-116",0.913898598639774
"574","2020-7-111",0.786842151696518
"575","2020-8-201",0.862545829980508
"576","2020-8-205",0.672531073777266
"577","2020-8-203",0.574290656973078
"578","2020-8-215",0.782650329033975
"579","2020-8-214",0.780358231547849
"580","2020-8-206",0.570798414495802
"581","2020-8-209",0.369908029113282
"582","2020-8-207",0.480749592374543
"583","2020-8-208",0.682336320579901
"584","2020-8-216",0.845367521326385
"585","2020-8-210",0.826138209827593
"586","2020-8-204",0.69067879485546
"587","2020-8-202",0.575907392410264
"588","2020-8-212",0.855969167232485
"589","2020-8-213",0.808120360418771
"590","2020-8-211",0.76495739045253
"591","2020-8-306",0.731512662782061
"592","2020-8-301",0.790556486837719
"593","2020-8-308",0.860649386978158
"594","2020-8-304",0.707358219184336
"595","2020-8-303",0.49638807747158
"596","2020-8-307",0.733636624651426
"597","2020-8-302",0.855550504139573
"598","2020-8-305",0.748344292223942
"599","2020-8-507",0.566490299892229
"600","2020-8-504",0.472206395946239
"601","2020-8-506",0.434647729506083
"602","2020-8-505",0.36150796948574
"603","2020-8-511",0.562221688004852
"604","2020-8-510",0.767068817321693
"605","2020-8-501",0.315403543194636
"606","2020-8-509",0.731021120347778
"607","2020-8-502",0.565046499935091
"608","2020-8-503",0.511939794306931
"609","2020-8-508",0.831140964843516
"610","2020-8-402",0.780111743163931
"611","2020-8-407",0.363832759952185
"612","2020-8-408",0.395264194981245
"613","2020-8-401",0.865495621174547
"614","2020-8-406",0.727513798989276
"615","2020-8-409",0.26717286768692
"616","2020-8-405",0.759097982807963
"617","2020-8-404",0.794735277321072
"618","2020-8-403",0.565022707915498
"619","2020-8-410",0.81469183807138
"620","2020-8-706",0.847128392009906
"621","2020-8-701",0.869388975746406
"622","2020-8-705",0.592986505667994
"623","2020-8-702",0.772954682536974
"624","2020-8-703",0.88213154697393
"625","2020-8-704",0.889149254085002
"626","2020-8-603",0.789234114232275
"627","2020-8-610",0.847344447940389
"628","2020-8-608",0.795272186607546
"629","2020-8-602",0.612033629722672
"630","2020-8-611",0.82159990063977
"631","2020-8-607",-0.3
"632","2020-8-604",0.591895319062555
"633","2020-8-605",0.800834907754972
"634","2020-8-609",0.850214631584978
"635","2020-8-601",0.814036505033865
"636","2020-8-606",0.801037041922921
"637","2020-8-112",0.677286354543618
"638","2020-8-110",0.51472815234667
"639","2020-8-106",0.768821182130444
"640","2020-8-118",0.376458444752198
"641","2020-8-103",0.687181573468011
"642","2020-8-117",0.925620540537171
"643","2020-8-102",0.40972844352635
"644","2020-8-108",0.586749416284994
"645","2020-8-120",0.853260194052343
"646","2020-8-115",0.415681460829846
"647","2020-8-107",0.832042126769177
"648","2020-8-114",0.720346982216026
"649","2020-8-119",0.661809228488416
"650","2020-8-104",0.644611458032477
"651","2020-8-101",0.444844388640714
"652","2020-8-109",0.427258477402129
"653","2020-8-105",0.821141670470654
"654","2020-8-113",0.15320162767871
"655","2020-8-116",0.918260389760964
"656","2020-8-111",0.871810575488429
"657","2020-9-201",0.841501089925278
"658","2020-9-205",0.655244798579789
"659","2020-9-203",0.570708454569909
"660","2020-9-215",0.800808145291132
"661","2020-9-214",0.744766285972074
"662","2020-9-206",0.578228914744547
"663","2020-9-209",0.388293931956616
"664","2020-9-207",0.496163527632198
"665","2020-9-208",0.64015197364386
"666","2020-9-216",0.849428887090322
"667","2020-9-210",0.830187680277092
"668","2020-9-204",0.719465911202563
"669","2020-9-202",0.652412690934571
"670","2020-9-212",0.82084830529893
"671","2020-9-213",0.761058216210025
"672","2020-9-211",0.735704956316448
"673","2020-9-306",0.730950827865077
"674","2020-9-301",0.796621230335648
"675","2020-9-308",0.882244536188294
"676","2020-9-304",0.655533419155664
"677","2020-9-303",0.498742303666338
"678","2020-9-307",0.706591874329082
"679","2020-9-302",0.830718790905429
"680","2020-9-305",0.766923492067693
"681","2020-9-507",0.564338893280023
"682","2020-9-504",0.456437450563595
"683","2020-9-506",0.439872145097795
